Date & Time,Date,Time,Duration (Second),Delta,T_X+,T_X-,T_Y+,T_Y-,T_Z+,T_Z-,T_Mid,CSS_XP,CSS_XM,CSS_YP,CSS_YM,CSS_ZP,CSS_ZM,I_QF_0,I_QF_1,I_QF_2,I_QF_3,I_QF_4,I_QF_5,I_QF_6,I_QF_7,T_TTC-B,ITemp0,ITemp1,I_UMPB,U_UMPB,U_UMBB,I_Block1,I_TTCA,I_TTCB,XAngVel,XAng,XSpeed,YAngVel,YAng,YSpeed,ZAngVel,ZAng,ZSpeed,RA_YM,DE_YM,AZ_YM,Diff_RA,Diff_DE,Diff_AZ
5/19/2018 0:00,19/05/2018,0:00:20,0,,12.25,1.01,-3.39,20.07,5.9,0.52,7.36,222.52,0,0,194.95,0,0,47.73,44.73,134.63,339.73,200.55,104.39,26.61,19.14,12.25,12.25,16.16,1111.78,16.06,16.06,-151.71,101.12,107.83,0.000954,-19.87,1004.5,0,0.23,4405.3,-0.002861,0.2,2323.2,87.33,-18.68,64.93,23.72,11.27,-143.94
5/19/2018 0:02,19/05/2018,0:02:20,120,120,12.74,0.52,-1.43,22.02,5.9,0.52,7.85,221.04,0,0.49,194.46,0,0,47.73,44.73,134.63,339.73,204.47,116.15,26.61,19.14,12.25,14.21,16.16,1134.42,16.06,16.06,-151.71,105.02,103.93,0.001907,-19.87,1006.2,0.001907,0.23,4397.6,0.000954,0.2,2330,87.33,-18.68,64.93,23.72,11.27,-151.53
5/19/2018 0:04,19/05/2018,0:04:19,240,120,12.74,0.52,-3.39,20.07,5.9,0.52,7.36,0,0,0,0,0,0,43.8,44.73,126.79,345.58,208.4,84.78,26.61,19.14,12.25,12.25,16.16,1111.78,15.77,15.73,417.72,101.12,103.93,0.000954,20.11,993.3,0.000954,0.27,4978.9,-0.002861,0.12,735.9,105.32,-9.83,60.1,5.74,2.42,-154.29
5/19/2018 0:06,19/05/2018,0:06:20,360,120,11.76,0.52,-3.39,18.12,5.41,0.52,7.36,0,0,0,0,0,0,47.73,44.73,158.16,345.58,212.32,96.55,26.61,19.14,12.25,12.25,16.16,1157.07,15.77,15.7,436.7,101.12,103.93,0,20.13,1000.7,0.002861,0.26,4977.2,0,0.13,734.6,105.25,-9.71,60.01,5.8,2.3,-161.8
5/19/2018 0:08,19/05/2018,0:08:19,480,120,10.3,0.52,-3.39,14.21,4.92,0.52,7.36,0,0,0,0,0,0,47.73,44.73,130.71,345.58,208.4,92.62,26.61,19.14,12.25,12.25,16.16,1123.1,15.68,15.7,417.72,101.12,105.88,0.003815,20.13,1001.8,-0.002861,0.26,4974.9,0,0.13,735.8,105.22,-9.7,60,5.84,2.28,-169.39
5/19/2018 0:10,19/05/2018,0:10:19,600,120,9.32,0.52,-3.39,12.25,4.43,0.52,7.36,0,0,0,0,0,0,47.73,44.73,134.63,345.58,204.47,88.7,26.61,19.14,12.25,12.25,12.74,1111.78,15.68,15.68,417.72,101.12,103.93,0,20.13,1002.6,-0.001907,0.26,4976,-0.001907,0.13,739.5,105.18,-9.71,60.01,5.88,2.29,-176.99
5/19/2018 0:12,19/05/2018,0:12:20,720,120,8.34,0.52,-3.39,10.3,3.94,0.03,7.36,0,0,0,0,0,0,47.73,44.73,130.71,345.58,208.4,96.55,26.61,19.14,12.25,12.25,12.74,1111.78,15.68,15.68,417.72,101.12,107.83,0,20.13,1006.7,0.003815,0.26,4977.1,0.000954,0.13,742.9,105.13,-9.71,60.01,5.93,2.29,175.42
5/19/2018 0:14,19/05/2018,0:14:19,840,120,8.34,0.52,-3.39,6.39,2.97,-0.46,7.36,0,0,0,0,0,0,47.73,44.73,134.63,345.58,216.24,92.62,26.61,19.14,12.25,12.25,12.25,1134.42,15.68,15.68,417.72,101.12,103.93,0.002861,20.13,1006,-0.000954,0.27,4978,0,0.13,745.9,105.08,-9.71,60,5.98,2.3,167.84
5/19/2018 0:16,19/05/2018,0:16:20,960,120,6.88,0.03,-3.39,6.39,2.97,-0.94,7.36,0,0,0,0,0,0,47.73,44.73,130.71,345.58,216.24,88.7,26.61,19.14,12.25,10.3,12.25,1123.1,15.68,15.68,408.23,101.12,107.83,0.006676,20.13,1006.1,-0.001907,0.27,4979.2,-0.002861,0.13,750.4,105.03,-9.74,60.01,6.03,2.33,160.24
5/19/2018 0:18,19/05/2018,0:18:20,1080,120,5.9,-0.46,-3.39,6.39,1.99,-0.94,7.36,0,0,0.49,0,0,0,47.73,44.73,130.71,347.53,208.4,92.62,26.61,19.14,12.25,10.3,12.25,1111.78,15.77,15.68,408.23,105.02,103.93,-0.001907,20.13,1009.5,-0.003815,0.26,4979.8,-0.000954,0.13,753.7,104.98,-9.75,59.97,6.08,2.34,152.68
5/19/2018 0:20,19/05/2018,0:20:19,1200,120,4.92,-0.46,-5.34,4.43,1.99,-1.43,7.36,0,0,0,0,0,0,47.73,44.73,158.16,347.53,204.47,92.62,26.61,19.14,10.3,10.3,12.25,1145.75,15.68,15.68,436.7,101.12,103.93,0.000954,20.13,1009.5,-0.002861,0.26,4980.2,-0.000954,0.13,756.1,104.95,-9.76,59.96,6.11,2.35,145.09
5/19/2018 0:22,19/05/2018,0:22:20,1320,120,4.43,-0.94,-5.34,2.48,1.5,-1.92,7.36,0,0,0,0,0,0,47.73,44.73,130.71,347.53,204.47,92.62,26.61,19.14,10.3,8.34,12.25,1123.1,15.68,15.68,417.72,101.12,103.93,-0.004768,20.13,1010.9,0.000954,0.26,4981.1,-0.000954,0.13,758.3,104.91,-9.77,59.95,6.15,2.36,137.52
5/19/2018 0:23,19/05/2018,0:23:40,1400,80,3.94,-0.94,-5.34,2.48,1.01,-1.92,6.39,0,0,0.49,0,0,0,47.73,44.73,138.55,347.53,212.32,92.62,26.61,19.14,10.3,10.3,12.25,1134.42,15.77,15.68,417.72,105.02,103.93,0.000954,20.13,1010.4,-0.000954,0.26,4982.4,-0.000954,0.13,760.2,104.9,-9.79,59.94,6.17,2.38,132.46
5/19/2018 0:25,19/05/2018,0:25:39,1520,120,2.97,-1.43,-5.34,0.52,1.01,-2.41,6.39,0,0,0,0,0,0,47.73,44.73,130.71,347.53,204.47,96.55,26.61,17.88,10.3,8.34,12.25,1111.78,15.68,15.63,427.21,101.12,103.93,0.000954,20.13,1010.4,-0.002861,0.26,4981.8,0.000954,0.14,763.1,104.86,-9.82,59.92,6.2,2.41,124.89
5/19/2018 0:27,19/05/2018,0:27:40,1640,120,2.48,-1.43,-7.3,0.52,0.52,-2.9,6.39,0,0,0,0,0,0,47.73,44.73,134.63,347.53,212.32,92.62,26.61,19.14,10.3,8.34,12.25,1134.42,15.68,15.63,417.72,101.12,103.93,0.000954,20.13,1010.5,0.002861,0.26,4982.2,0,0.13,766.9,104.82,-9.85,59.91,6.25,2.44,117.31
5/19/2018 0:29,19/05/2018,0:29:39,1760,120,1.5,-1.92,-7.3,0.52,0.52,-2.9,6.39,0,0,0,0,0,0,47.73,44.73,130.71,347.53,212.32,92.62,26.61,17.88,7.85,6.39,12.25,1134.42,15.68,15.63,417.72,101.12,103.93,0,20.13,1011.3,0.001907,0.26,4982.9,0,0.13,767.3,104.8,-9.86,59.91,6.27,2.45,109.72
5/19/2018 0:31,19/05/2018,0:31:39,1880,120,1.01,-1.92,-7.3,-1.43,0.03,-3.39,6.39,0,0,0,0,0,0,47.73,44.73,126.79,347.53,212.32,96.55,26.61,17.88,7.85,6.39,12.25,1123.1,15.68,15.61,417.72,101.12,103.93,-0.000954,20.13,1012.4,0.002861,0.26,4984.1,0.001907,0.13,768.7,104.78,-9.88,59.9,6.29,2.47,102.13
